package,version,file_out,functions,title,internal,all_urls
bioLeak,0.3.8,audit_duplicates.html,audit_duplicates,Near-duplicate pairs from a LeakAudit,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,audit_duplicates.html,"audit_duplicates,LeakAudit-method",Near-duplicate pairs from a LeakAudit,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,audit_info.html,audit_info,Auxiliary information from a LeakAudit,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,audit_info.html,"audit_info,LeakAudit-method",Auxiliary information from a LeakAudit,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,audit_leakage.html,audit_leakage,Audit leakage and confounding,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,audit_leakage_by_learner.html,audit_leakage_by_learner,Audit leakage per learner,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,audit_perm_gap.html,audit_perm_gap,Permutation-gap test results from a LeakAudit,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,audit_perm_gap.html,"audit_perm_gap,LeakAudit-method",Permutation-gap test results from a LeakAudit,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,audit_report.html,audit_report,Render an HTML audit report,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,audit_target_assoc.html,audit_target_assoc,Target-leakage scan results from a LeakAudit,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,audit_target_assoc.html,"audit_target_assoc,LeakAudit-method",Target-leakage scan results from a LeakAudit,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,benchmark_leakage_suite.html,benchmark_leakage_suite,Simulation benchmark matrix for leakage diagnostics,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,calibration_summary.html,calibration_summary,Calibration diagnostics for binomial predictions,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,check_split_overlap.html,check_split_overlap,Check split overlap invariants,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,confounder_sensitivity.html,confounder_sensitivity,Confounder sensitivity summaries,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,cv_ci.html,cv_ci,Confidence intervals for cross-validated metrics,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,delta_lsi.html,delta_lsi,Delta Leakage Sensitivity Index (Delta LSI),FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dlsi_R_eff.html,dlsi_R_eff,Effective number of paired repeats from a LeakDeltaLSI,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dlsi_R_eff.html,"dlsi_R_eff,LeakDeltaLSI-method",Effective number of paired repeats from a LeakDeltaLSI,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dlsi_ci.html,dlsi_ci,BCa confidence interval from a LeakDeltaLSI,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dlsi_ci.html,"dlsi_ci,LeakDeltaLSI-method",BCa confidence interval from a LeakDeltaLSI,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dlsi_metric.html,dlsi_metric,Raw delta-metric estimate from a LeakDeltaLSI,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dlsi_metric.html,"dlsi_metric,LeakDeltaLSI-method",Raw delta-metric estimate from a LeakDeltaLSI,FALSE,https://github.com/selcukorkmaz/bioLeak
bioLeak,0.3.8,dlsi_p_value.html,dlsi_p_value,Sign-flip p-value from a LeakDeltaLSI,FALSE,https://github.com/selcukorkmaz/bioLeak
