title,func,topic,url,package
Generate n-grams From Token Variables,step_ngram,<a href='https://textrecipes.tidymodels.org/reference/step_ngram.html' target='_blank'><tt>step_ngram</tt></a>,https://textrecipes.tidymodels.org/reference/step_ngram.html,textrecipes
Handle levels in multiple predictors together,step_dummy_multi_choice,<a href='https://recipes.tidymodels.org/reference/step_dummy_multi_choice.html' target='_blank'><tt>step_dummy_multi_choice</tt></a>,https://recipes.tidymodels.org/reference/step_dummy_multi_choice.html,recipes
High correlation filter,step_corr,<a href='https://recipes.tidymodels.org/reference/step_corr.html' target='_blank'><tt>step_corr</tt></a>,https://recipes.tidymodels.org/reference/step_corr.html,recipes
Holiday feature generator,step_holiday,<a href='https://recipes.tidymodels.org/reference/step_holiday.html' target='_blank'><tt>step_holiday</tt></a>,https://recipes.tidymodels.org/reference/step_holiday.html,recipes
Holiday Feature (Signature) Generator,step_holiday_signature,<a href='https://business-science.github.io/timetk/reference/step_holiday_signature.html' target='_blank'><tt>step_holiday_signature</tt></a>,https://business-science.github.io/timetk/reference/step_holiday_signature.html,timetk
Hyperbolic transformations,step_hyperbolic,<a href='https://recipes.tidymodels.org/reference/step_hyperbolic.html' target='_blank'><tt>step_hyperbolic</tt></a>,https://recipes.tidymodels.org/reference/step_hyperbolic.html,recipes
ICA signal extraction,step_ica,<a href='https://recipes.tidymodels.org/reference/step_ica.html' target='_blank'><tt>step_ica</tt></a>,https://recipes.tidymodels.org/reference/step_ica.html,recipes
Impute nominal data using the most common value,step_impute_mode,<a href='https://recipes.tidymodels.org/reference/step_impute_mode.html' target='_blank'><tt>step_impute_mode</tt></a>,https://recipes.tidymodels.org/reference/step_impute_mode.html,recipes
Impute numeric data below the threshold of measurement,step_impute_lower,<a href='https://recipes.tidymodels.org/reference/step_impute_lower.html' target='_blank'><tt>step_impute_lower</tt></a>,https://recipes.tidymodels.org/reference/step_impute_lower.html,recipes
Impute numeric data using a rolling window statistic,step_impute_roll,<a href='https://recipes.tidymodels.org/reference/step_impute_roll.html' target='_blank'><tt>step_impute_roll</tt></a>,https://recipes.tidymodels.org/reference/step_impute_roll.html,recipes
